Name,Set,Quantity
Death Ward,Revised Edition,1
Death Watch,Visions,1
Death's Duet,Exodus,7
Death's-Head Buzzard,Scourge,4
Deathgrip,Fourth Edition,1
Decomposition,Mirage,1
Deep Wood,Portal,2
Deep-Sea Serpent,Portal,3
Defensive Formation,Urza's Saga,1
Defiant Stand,Portal,3
Deja Vu,Portal,5
Delirium,Mirage,1
Despondency,Urza's Saga,4
Destructive Urge,Urza's Saga,1
Devoted Hero,Portal,5
Diabolic Edict,Tempest,1
Diabolic Machine,Fourth Edition,2
Diabolic Servitude,Urza's Saga,1
Dirtcowl Wurm,Tempest,1
Dirtwater Wraith,Mirage,8
Disciple of Grace,Urza's Saga,1
Disciple of Law,Urza's Saga,4
Discordant Dirge,Urza's Saga,1
Discordant Spirit,Mirage,1
Disempower,Mirage,4
Disenchant,Mirage,4
Disenchant,Tempest,1
Disenchant,Urza's Saga,4
Disintegrate,Revised Edition,1
Dismiss,Tempest,1
Disorder,Urza's Saga,1
Disrupt,Weatherlight,6
Disruptive Student,Urza's Saga,3
Dissipate,Mirage,1
Disturbed Burial,Tempest,1
Divine Offering,Mirage,4
Divine Retribution,Mirage,1
Dizzying Gaze,Exodus,8
Dominating Licid,Exodus,1
Douse,Urza's Saga,1
Dracoplasm,Tempest,1
Dragon Blood,Urza's Saga,1
Dragon Whelp,Revised Edition,1
Drain Life,Fourth Edition,1
Drain Life,Mirage,1
Drain Life,Revised Edition,1
Dread Charge,Portal,1
Dread of Night,Tempest,1
Dread Reaper,Portal,1
Dread Specter,Mirage,1
Dream Cache,Mirage,1
Dream Cache,Tempest,4
Dream Fighter,Mirage,5
Dream Halls,Stronghold,1
Dream Prowler,Stronghold,9
Dregs of Sorrow,Tempest,1
Drifting Djinn,Urza's Saga,1
Drifting Meadow,Urza's Saga,3
Dromosaur,Urza's Saga,5
Dry Spell,Portal,1
Duct Crawler,Stronghold,8
Dungeon Shade,Stronghold,7
Duplicity,Tempest,1
Duress,Urza's Saga,2
Durkwood Boars,Fourth Edition,2
Duskrider Falcon,Weatherlight,6
Dwarven Berserker,Weatherlight,7
Dwarven Miner,Mirage,1
Dwarven Nomad,Mirage,1
Dwarven Soldier (Asplund-Faith),Fallen Empires,1
Dwarven Trader (A),Homelands,2
Dwarven Vigilantes,Visions,6
Dwarven Warriors,Fifth Edition,1
Early Harvest,Mirage,1
Earthbind,Revised Edition,2
Earthcraft,Tempest,1
Earthlore,Ice Age,1
Eastern Paladin,Urza's Saga,1
Ebony Charm,Mirage,4
Echo Chamber,Tempest,1
Ekundu Cyclops,Mirage,7
Ekundu Griffin,Mirage,3
