Name,Set,Quantity
Swamp (B),Fourth Edition,1
Swamp (B),Mirage,1
Swamp (B),Revised Edition,6
Swamp (B),Tempest,1
Swamp (C),Mirage,1
Swamp (C),Revised Edition,1
Swamp (C),Tempest,1
Swamp (D),Mirage,1
Swamp (D),Tempest,1
Sword of the Chosen,Stronghold,1
Sylvan Hierophant,Weatherlight,1
Sylvan Tutor,Portal,1
Symbiosis,Urza's Saga,4
Symbol of Unsummoning,Portal,5
Tahngarth's Rage,Tempest,1
Tainted Aether,Urza's Saga,1
Tainted Specter,Mirage,1
Talon Sliver,Tempest,4
Talruum Champion,Visions,10
Talruum Minotaur,Mirage,5
Talruum Piper,Visions,3
Tanglebloom,Mirrodin,3
Taniwha,Mirage,1
Taste of Paradise (B),Alliances,1
Taunt,Portal,1
Tawnos's Weaponry,Fifth Edition,1
Teeka's Dragon,Mirage,1
Teferi's Curse,Mirage,5
Teferi's Drake,Mirage,5
Teferi's Honor Guard,Visions,3
Teferi's Imp,Mirage,1
Teferi's Isle,Mirage,1
Teferi's Veil,Weatherlight,1
Telepathy,Urza's Saga,1
Telethopter,Tempest,1
Telim'Tor's Darts,Mirage,1
Telim'Tor's Edict,Mirage,1
Telim'Tor,Mirage,1
Temper,Stronghold,1
Temporal Aperture,Urza's Saga,1
Tempting Licid,Stronghold,3
Tendrils of Despair,Weatherlight,4
Teremko Griffin,Mirage,5
Terror,Classic Sixth Edition,4
Terror,Revised Edition,1
Thalakos Deceiver,Stronghold,1
Thalakos Dreamsower,Tempest,1
Thalakos Drifters,Exodus,1
Thalakos Lowlands,Tempest,1
Thalakos Mistfolk,Tempest,3
Thalakos Scout,Exodus,8
Thalakos Seer,Tempest,3
Thalakos Sentry,Tempest,3
Thallid (Myrfors),Fallen Empires,1
The Brute,Fourth Edition,1
Theft of Dreams,Exodus,7
Theft of Dreams,Portal,2
Thelon's Chant,Fallen Empires,2
Thirst,Mirage,6
Thopter Squadron,Exodus,1
Thorn Thallid (Hudson),Fallen Empires,1
Thran Quarry,Urza's Saga,1
Thran Turbine,Urza's Saga,1
Thrull Surgeon,Exodus,7
Thumbscrews,Tempest,1
Thundering Giant,Urza's Saga,1
Thundering Wurm,Portal,2
Tidal Flats (B),Fallen Empires,1
Tidal Influence,Fallen Empires,2
Tidal Surge,Portal,1
Tidal Surge,Stronghold,6
Tidal Warrior,Stronghold,5
Tidal Wave,Mirage,2
Time Ebb,Portal,4
Time Ebb,Tempest,4
Time Spiral,Urza's Saga,1
Time Warp,Tempest,1
Titania's Boon,Urza's Saga,1
Titania's Chosen,Urza's Saga,1
Tolarian Academy,Urza's Saga,1
Tolarian Drake,Weatherlight,7
Tolarian Winds,Urza's Saga,3
Tombstone Stairwell,Mirage,1
Tooth and Claw,Tempest,1
Torch Song,Urza's Saga,1
Torment,Stronghold,7
Torrent of Lava,Mirage,1
Torture (A),Homelands,2
Torture Chamber,Tempest,1
Tortured Existence,Stronghold,3
Touch of Brilliance,Portal,4
Trained Armodon,Tempest,3
Tranquil Domain,Mirage,7
Tranquility,Tempest,2
Transluminant,Ravnica: City of Guilds,2
Transmogrifying Licid,Exodus,1
Treasure Hunter,Exodus,2
Treasure Trove,Exodus,1
Treefolk Seedlings,Urza's Saga,1
Treetop Defense,Portal,1
Treetop Rangers,Urza's Saga,1
Tremor,Visions,10
Tropical Storm,Mirage,1
Trumpeting Armodon,Tempest,1
Tundra Wolves,Fifth Edition,1
Tundra Wolves,Fourth Edition,1
Turnabout,Urza's Saga,1
Twiddle,Fourth Edition,1
Twitch,Tempest,3
Uktabi Efreet,Weatherlight,8
Uktabi Faerie,Mirage,7
Uktabi Wildcats,Mirage,1
Umbilicus,Urza's Saga,1
Undergrowth (A),Alliances,1
Undergrowth (B),Alliances,1
Undying Beast,Portal,6
Unerring Sling,Mirage,1
Unfulfilled Desires,Mirage,1
Unlikely Alliance,Alliances,1
Unnerve,Urza's Saga,1
Unseen Walker,Mirage,1
Unstable Mutation,Fourth Edition,1
Unstable Mutation,Revised Edition,2
Unstable Shapeshifter,Tempest,1
Unsummon,Fourth Edition,2
Unsummon,Revised Edition,1
Untamed Wilds,Portal,1
Unworthy Dead,Urza's Saga,3
Unyaro Bee Sting,Mirage,3
Unyaro Griffin,Mirage,1
Urborg Mindsucker,Visions,7
Urborg Panther,Mirage,4
Urza's Armor,Urza's Saga,1
Urza's Power Plant,Fifth Edition,1
Valorous Charge,Portal,1
Vampire Hounds,Exodus,7
Vampiric Embrace,Urza's Saga,1
Vampiric Feast,Portal,3
Vampiric Touch,Portal,7
Vampirism,Visions,1
Vanishing,Visions,10
Vaporous Djinn,Mirage,1
Vebulid,Urza's Saga,1
Vec Townships,Tempest,1
Veil of Birds,Urza's Saga,5
Veiled Apparition,Urza's Saga,1
Veiled Crocodile,Urza's Saga,1
Veiled Sentry,Urza's Saga,1
Veiled Serpent,Urza's Saga,5
Venerable Monk,Stronghold,7
Vengeance,Portal,3
Venom,Fifth Edition,1
Venomous Fangs,Urza's Saga,1
Ventifact Bottle,Mirage,1
Verdant Force,Tempest,1
Verdant Touch,Stronghold,1
Verdigris,Tempest,1
Vernal Bloom,Urza's Saga,1
Vhati il-Dal,Tempest,1
Viashino Fangtail,Ravnica: City of Guilds,2
Viashino Outrider,Urza's Saga,3
Viashino Runner,Urza's Saga,5
Viashino Sandswimmer,Urza's Saga,1
Viashino Warrior,Mirage,7
Viashino Weaponsmith,Urza's Saga,3
Victimize,Urza's Saga,1
Victual Sliver,Stronghold,1
Vigilant Martyr,Mirage,1
Vile Requiem,Urza's Saga,1
Village Elder,Mirage,4
Viridian Acolyte,Darksteel,1
Viridian Longbow,Mirrodin,3
Virtue's Ruin,Portal,2
Vision Charm,Visions,4
Visions,Fourth Edition,2
Vitalize,Weatherlight,2
Vitalizing Cascade,Mirage,1
Vodalian Knights,Fallen Empires,1
Vodalian Mage (Camp),Fallen Empires,1
Vodalian Mage (Poole),Fallen Empires,1
Vodalian Soldiers (Benson),Fallen Empires,1
Vodalian Soldiers (Ferguson),Fallen Empires,1
Voice of Grace,Urza's Saga,3
Voice of Law,Urza's Saga,1
Volcanic Dragon,Mirage,1
Volcanic Geyser,Mirage,1
Volcanic Hammer,Ninth Edition,4
Volcanic Hammer,Portal,4
Volrath's Curse,Tempest,1
Volrath's Dungeon,Exodus,1
Volrath's Gardens,Stronghold,1
Volrath's Laboratory,Stronghold,1
Volrath's Shapeshifter,Stronghold,1
Volrath's Stronghold,Stronghold,1
Voltaic Key,Urza's Saga,1
Volunteer Reserves,Weatherlight,2
Voodoo Doll,Chronicles,1
Vug Lizard,Urza's Saga,1
Waiting in the Weeds,Mirage,1
Wake of Vultures,Visions,3
Walking Dream,Stronghold,4
Wall of Blossoms,Stronghold,1
Wall of Brambles,Fourth Edition,1
Wall of Corpses,Mirage,5
Wall of Diffusion,Tempest,4
Wall of Essence,Stronghold,1
Wall of Granite,Portal,1
Wall of Junk,Urza's Saga,1
Wall of Nets,Exodus,1
Wall of Razors,Stronghold,1
Wall of Resistance,Mirage,3
Wall of Roots,Mirage,1
Wall of Souls,Stronghold,1
Wall of Spears,Fifth Edition,2
Wall of Spears,Fourth Edition,1
Wall of Stone,Fifth Edition,1
Wall of Tears,Stronghold,2
Wall of Vapor,Chronicles,2
Wall of Wonder,Chronicles,1
Wall of Wood,Fourth Edition,1
War Dance,Urza's Saga,1
War Mammoth,Fifth Edition,1
War Mammoth,Fourth Edition,1
Ward of Lights,Mirage,4
Warmth,Tempest,1
Warning,Ice Age,1
Warping Wurm,Mirage,1
Warrior Angel,Stronghold,1
Warrior en-Kor,Stronghold,1
Warrior's Charge (A),Portal,6
Warrior's Honor,Visions,4
Warthog,Visions,8
Wasteland,Tempest,1
Watchdog,Tempest,1
Wave Elemental,Mirage,2
Waylay,Urza's Saga,1
Wayward Soul,Exodus,6
Weakness,Revised Edition,4
Welkin Hawk,Exodus,4
Wellspring,Mirage,1
Western Paladin,Urza's Saga,1
Whetstone,Urza's Saga,1
Whim of Volrath,Tempest,1
Whiptail Wurm,Portal,2
Whiptongue Frog,Exodus,9
Whirlwind,Urza's Saga,1
Whispers of the Muse,Tempest,1
White Ward,Fourth Edition,1
Wicked Pact,Portal,1
Wicked Reward,Visions,6
Wild Dogs,Urza's Saga,1
Wild Elephant,Mirage,7
Wild Growth,Fifth Edition,1
Wild Growth,Revised Edition,1
Wild Wurm,Tempest,2
Wildfire Emissary,Mirage,2
Wildfire,Urza's Saga,1
Willow Dryad,Portal,4
Willow Faerie (A),Homelands,1
Wind Dancer,Tempest,1
Wind Drake,Portal,2
Wind Drake,Tempest,3
Wind Shear,Visions,2
Windfall,Urza's Saga,1
Winding Wurm,Urza's Saga,1
Windreaper Falcon,Mirage,2
Winds of Rath,Tempest,1
Winged Sliver,Tempest,3
Wings of Aesthir,Ice Age,1
Winter's Grasp,Portal,1
Winter's Grasp,Tempest,1
Witch Engine,Urza's Saga,1
Withering Boon,Mirage,1
Withering Gaze,Portal,1
Wizard Mentor,Urza's Saga,1
Wolverine Pack,Fifth Edition,1
Wood Elves,Exodus,5
Wood Sage,Tempest,1
Word of Binding,Fourth Edition,2
Workhorse,Exodus,1
Worldly Tutor,Mirage,1
Wormwood Treefolk,The Dark,1
Worn Powerstone,Urza's Saga,1
Worship,Urza's Saga,1
Worthy Cause,Tempest,2
Yare,Mirage,1
Yawgmoth's Edict,Urza's Saga,1
Yawgmoth's Will,Urza's Saga,1
Youthful Knight,Stronghold,8
Zealots en-Dal,Exodus,1
Zebra Unicorn,Mirage,1
Zephid's Embrace,Urza's Saga,1
Zephid,Urza's Saga,1
Zephyr Falcon,Fifth Edition,1
Zephyr Falcon,Fourth Edition,1
Zhalfirin Commander,Mirage,2
Zhalfirin Knight,Mirage,7
Zirilan of the Claw,Mirage,1
Zombie Cutthroat,Scourge,2
Zombie Mob,Mirage,1
Zombie Scavengers,Weatherlight,6
"Zuberi, Golden Feather",Mirage,1
