Border Guard,Portal,7,0,0.00
Bottle Gnomes,Tempest,1,0,0.00
Bottomless Pit,Stronghold,1,0,0.00
Bounty Hunter,Tempest,1,0,0.00
Brainwash,The Dark,1,0,0.00
Brand,Urza's Saga,1,0,0.00
Brassclaw Orcs (A),Fallen Empires,1,0,0.00
Brassclaw Orcs,Fifth Edition,1,0,0.00
Bravado,Urza's Saga,1,0,0.00
Breach,Urza's Saga,5,0,0.00
Breath of Life,Portal,2,0,0.00
Breathstealer,Mirage,5,0,0.00
Breezekeeper,Visions,5,0,0.00
Briar Shield,Weatherlight,5,0,0.00
Brilliant Halo,Urza's Saga,4,0,0.00
Broken Fall,Tempest,1,0,0.00
Brothers of Fire,Fifth Edition,2,0,0.00
Brothers of Fire,Fourth Edition,1,0,0.00
Brush with Death,Stronghold,6,0,0.00
Brushwagg,Mirage,1,0,0.00
Builder's Bane,Mirage,7,0,0.00
Bull Elephant,Visions,7,0,0.00
Bull Hippo,Portal,2,0,0.00
Bull Hippo,Urza's Saga,1,0,0.00
Bullwhip,Stronghold,1,0,0.00
Bulwark,Urza's Saga,1,0,0.00
Burgeoning,Stronghold,1,0,0.00
Burning Cloak,Portal,2,0,0.00
Burning Palm Efreet,Mirage,1,0,0.00
Burning Shield Askari,Mirage,4,0,0.00
Burrowing,Fourth Edition,1,0,0.00
Cackling Fiend,Urza's Saga,1,0,0.00
Cadaverous Bloom,Mirage,1,0,0.00
Cadaverous Knight,Mirage,4,0,0.00
Caldera Lake,Tempest,1,0,0.00
Calming Licid,Stronghold,1,0,0.00
Cannibalize,Stronghold,4,0,0.00
Canopy Dragon,Mirage,1,0,0.00
Canopy Spider,Tempest,6,0,0.00
Canyon Drake,Tempest,1,0,0.00
Canyon Wildcat,Tempest,4,0,0.00
Capsize,Tempest,1,0,0.00
Carnassid,Stronghold,1,0,0.00
Carnivorous Plant,Fourth Edition,2,0,0.00
Carnivorous Plant,The Dark,1,0,0.00
Carnophage,Exodus,3,0,0.00
Carpet of Flowers,Urza's Saga,1,0,0.00
Carrier Pigeons (A),Alliances,1,0,0.00
Carrion Beetles,Urza's Saga,3,0,0.00
Carrion,Mirage,1,0,0.00
Carrionette,Tempest,1,0,0.00
Cartographer,Exodus,1,0,0.00
Casting of Bones (B),Alliances,1,0,0.00
Cat Burglar,Exodus,8,0,0.00
Cat Warriors,Fifth Edition,1,0,0.00
Cataclysm,Exodus,1,0,0.00
Catacomb Dragon,Mirage,1,0,0.00
Catalog,Urza's Saga,5,0,0.00
Catastrophe,Urza's Saga,1,0,0.00
Cathodion,Urza's Saga,1,0,0.00
Cave People,Fourth Edition,3,0,0.00
Cave Tiger,Urza's Saga,4,0,0.00
Celestial Dawn,Mirage,1,0,0.00
Cemetery Gate (B),Homelands,1,0,0.00
Cerulean Wyvern,Mirage,2,0,0.00
Change of Heart,Stronghold,5,0,0.00
Channel,Revised Edition,1,0,0.00
Chaos Charm,Mirage,9,0,0.00
Chaosphere,Mirage,1,0,0.00
Chaotic Goo,Tempest,1,0,0.00
Charcoal Diamond,Mirage,1,0,0.00
Charging Bandits,Portal,3,0,0.00
Charging Paladin,Exodus,9,0,0.00
Charging Rhino,Portal,1,0,0.00
Charging Rhino,Tempest,3,0,0.00
Chariot of the Sun,Mirage,1,0,0.00
Child of Gaea,Urza's Saga,1,0,0.00
Chill,Tempest,1,0,0.00
Chimeric Sphere,Weatherlight,1,0,0.00
Chimeric Staff,Urza's Saga,1,0,0.00
Choke,Tempest,1,0,0.00
Choking Sands,Mirage,5,0,0.00
Choking Vines,Weatherlight,5,0,0.00
Chub Toad,Fifth Edition,1,0,0.00
Cinder Cloud,Mirage,1,0,0.00
Cinder Crawler,Exodus,7,0,0.00
Cinder Marsh,Tempest,1,0,0.00
Cinder Wall,Weatherlight,6,0,0.00
Circle of Despair,Mirage,1,0,0.00
Circle of Protection: Black,Fifth Edition,1,0,0.00
Circle of Protection: Black,Fourth Edition,1,0,0.00
Circle of Protection: Black,Tempest,2,0,0.00
Circle of Protection: Blue,Fourth Edition,2,0,0.00
Circle of Protection: Blue,Tempest,1,0,0.00
Circle of Protection: Green,Fourth Edition,2,0,0.00
Circle of Protection: Green,Tempest,1,0,0.00
Circle of Protection: Red,Fifth Edition,1,0,0.00
Circle of Protection: Red,Fourth Edition,2,0,0.00
Circle of Protection: Red,Revised Edition,1,0,0.00
Circle of Protection: Red,Tempest,1,0,0.00
Circle of Protection: Shadow,Tempest,5,0,0.00
Circle of Protection: White,Fifth Edition,1,0,0.00
Circle of Protection: White,Tempest,2,0,0.00
Citanul Centaurs,Urza's Saga,1,0,0.00
Citanul Flute,Urza's Saga,1,0,0.00
Citanul Hierophants,Urza's Saga,1,0,0.00
City of Traitors,Exodus,1,0,0.00
Civic Guildmage,Mirage,5,0,0.00
